Study,Organism,Experiment,RelativeDensity,PredictedP,n,EstimatedVariance,ObservedVariance,LowerBound,UpperBound
Akre1979,Odonate,1,0.23,0.1,38,0.0024,0.00315,0.00035,0.007
Akre1979,Odonate,1,0.41,0.212,30,0.0056,0.0084,0.00078,0.015
Akre1979,Odonate,1,0.045,0.018,24,0.0007,0,0,0.003
Akre1979,Odonate,1,0.6,0.36,27,0.0085,0.06,0.001,0.024
Akre1979,Odonate,1,0.77,0.57,17,0.014,0.125,0.0017,0.04
Akre1979,Odonate,1,0.95,0.89,11,0.0088,0.0007,0.0016,0.026
Akre1979,Odonate,2,0.23,0.06,47,0.0013,0.0045,0.00014,0.004
Akre1979,Odonate,2,0.41,0.14,40,0.003,0.0015,0.00044,0.0084
Akre1979,Odonate,2,0.045,0.01,46,0.00024,0,0,0.0008
Akre1979,Odonate,2,0.6,0.25,43,0.004,0.0194,0.00054,0.12
Akre1979,Odonate,2,0.77,0.444,23,0.011,0.0166,0.0013,0.03
Akre1979,Odonate,2,0.95,0.83,21,0.0067,0.003,0.0007,0.019
Bayliss1982,Whelk,1,0.83,0.98,8,0.0024,0,0,0.011
Bayliss1982,Whelk,1,0.5,0.91,14,0.006,0.0063,0.00085,0.016
Bayliss1982,Whelk,1,0.167,0.67,8,0.026,0.0456,0.0042,0.067
Bayliss1982,Whelk,2,0.5,0.56,12,0.02,0.0285,0.004,0.05
Bayliss1982,Whelk,2,0.83,0.86,13,0.009,0.004,0.0018,0.026
Bayliss1982,Whelk,2,0.17,0.2,10,0.016,0.0286,0.0027,0.04
Bayliss1982,Whelk,3,0.5,0.5,9,0.028,0.055,0.005,0.067
Bayliss1982,Whelk,3,0.83,0.83,13,0.01,0.0027,0.0016,0.0276
Bayliss1982,Whelk,3,0.17,0.17,11,0.012,0.00024,0.00022,0.033
Bell1999,Fish,1,0.25,0.068,8,0.008,0.006,0,0.036
Bell1999,Fish,1,0.5,0.18,8,0.018,0.017,0,0.068
Bell1999,Fish,1,0.75,0.4,8,0.03,0.085,0,0.109
Bloisheulin1990,Odonate,1,0.2,0.213,8,0.021,0.03,0.007,0.044
Bloisheulin1990,Odonate,1,0.4,0.42,8,0.03,0.06,0.01,0.062
Bloisheulin1990,Odonate,1,0.5,0.52,8,0.03,0.046,0.01,0.062
Bloisheulin1990,Odonate,1,0.6,0.62,8,0.03,0.03,0.01,0.06
Bloisheulin1990,Odonate,1,0.8,0.81,8,0.02,0.03,0.006,0.041
Bloisheulin1990,Odonate,2,0.2,0.35,8,0.028,0.03,0.0085,0.058
Bloisheulin1990,Odonate,2,0.4,0.59,8,0.03,0.049,0.01,0.061
Bloisheulin1990,Odonate,2,0.5,0.68,8,0.027,0.016,0.008,0.056
Bloisheulin1990,Odonate,2,0.6,0.76,8,0.023,0.01,0.007,0.048
Bloisheulin1990,Odonate,2,0.8,0.895,8,0.012,0.046,0.0036,0.027
Buck2000,Fish,1,0.12,0.16,12,0.011,0.002,0,0.044
Buck2000,Fish,1,0.25,0.315,12,0.018,0.061,0,0.065
Buck2000,Fish,1,0.5,0.58,12,0.02,0.086,0,0.072
Buck2000,Fish,1,0.75,0.805,12,0.013,0.006,0,0.049
Buck2000,Fish,1,0.88,0.91,12,0.007,0.0077,0,0.03
Buck2000,Fish,2,0.12,0.14,12,0.01,0.003,0,0.04
Buck2000,Fish,2,0.25,0.28,12,0.017,0.09,0,0.065
Buck2000,Fish,2,0.5,0.54,12,0.021,0.13,0,0.072
Buck2000,Fish,2,0.75,0.78,12,0.014,0.067,0,0.05
Buck2000,Fish,2,0.88,0.896,12,0.0078,0.0034,0,0.03
Butler1991,Mite,1,0.15,0.12,10,0.01,0.0075,0.0027,0.026
Butler1991,Mite,1,0.35,0.29,10,0.02,0.0117,0.005,0.046
Butler1991,Mite,1,0.5,0.437,10,0.025,0.025,0.006,0.054
Butler1991,Mite,1,0.65,0.59,10,0.024,0.018,0.006,0.053
Butler1991,Mite,1,0.85,0.815,10,0.015,0.01,0.004,0.035
Butler1991,Mite,2,0.15,0.155,15,0.01,0.009,0.001,0.028
Butler1991,Mite,2,0.35,0.36,15,0.021,0.02,0.001,0.049
Butler1991,Mite,2,0.5,0.51,15,0.025,0.001,0.001,0.049
Butler1991,Mite,2,0.65,0.66,15,0.024,0.001,0.001,0.045
Butler1991,Mite,2,0.85,0.85,15,0.015,0.002,0.001,0.027
Cuthbert2018,Amphipod,1,0.07,0.23,8,0.022,0.04,0.0042,0.056
Cuthbert2018,Amphipod,1,0.13,0.37,8,0.029,0.06,0.0047,0.071
Cuthbert2018,Amphipod,1,0.27,0.6,8,0.03,0.074,0.0047,0.073
Cuthbert2018,Amphipod,1,0.5,0.8,8,0.02,0.004,0.0042,0.053
Cuthbert2018,Amphipod,1,0.73,0.915,8,0.0097,0.007,0.0026,0.028
Cuthbert2018,Amphipod,1,0.87,0.964,8,0.004,0,0,0.0125
Cuthbert2018,Amphipod,1,0.93,0.98,8,0.002,0.002,0,0.01
Daly2013,Crab,1,0.1,0.107,5,0.024,0.0081,0,0.0625
Daly2013,Crab,1,0.3,0.317,5,0.054,0.0046,0,0.141
Daly2013,Crab,1,0.5,0.52,5,0.0624,0.13,0.017,0.125
Daly2013,Crab,1,0.7,0.717,5,0.051,0.17,0.0156,0.11
Daly2013,Crab,1,0.9,0.91,5,0.021,0.01,0,0.0625
Daly2013,Crab,2,0.1,0.096,5,0.022,0.014,0,0.0625
Daly2013,Crab,2,0.3,0.29,5,0.05,0.06,0.0125,0.144
